BGC,log(HighestMean_AllClasses),class_discriminitive,LDA_score,LEfSe_pvalue,manual_pvalue,NCBI refrence sequence acession number,Taxa Name,Phylum,smNRPS 
V1.UC50.1__NODE_291_length_62821_cov_6.03392__61264__nrps__ANTISMASH__1557_62821,2.577605456,-,-,-,0.840491014,N/A,N/A,Unassigned,
O2.UC56.0__NODE_1381_length_20599_cov_1.80646__12004__bacteriocin__ANTISMASH__8595_20599,2.69513049,-,-,-,0.333601229,NZ_CP013939,Streptococcus thermophilus,Firmicutes,
V1.CD34.0__NODE_486_length_43294_cov_2.88959__33618__other__ANTISMASH__0_33618,1.631167204,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC53.0__NODE_3299_length_11584_cov_3.24712__11584__bacteriocin__ANTISMASH__0_11584,2.811823594,-,-,-,0.056553659,N/A,N/A,Unassigned,
V1.UC26.4__NODE_3387_length_11898_cov_41.5052__11898__bacteriocin__ANTISMASH__0_11898,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC4.5__NODE_1202_length_33681_cov_4.00969__26647__resorcinol__ANTISMASH__7034_33681,2.780609586,-,-,-,0.049306122,N/A,N/A,Unassigned,
O2.UC59.0__NODE_285_length_50933_cov_3.38117__24258__other__ANTISMASH__26675_50933,3.025374266,C,2.747904662,0.000173635,0.000173635,N/A,N/A,Unassigned,
V1.UC61.0__NODE_930_length_26002_cov_3.77986__26002__nrps__ANTISMASH__0_26002,3.185059259,CD,2.870308001,8.04E-08,8.04E-08,NZ_KB851045,Clostridium clostridioforme 90A7,Firmicutes,smNRPS2
O2.UC29.0__NODE_332_length_35757_cov_2.7522__35757__nrps__ANTISMASH__0_35757,1.904834474,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.UC4.0__NODE_977_length_18607_cov_4.62818__18607__nrps__ANTISMASH__0_18607,3.205586594,-,-,-,0.011473911,N/A,N/A,Unassigned,
V1.UC10.2__NODE_6620_length_5809_cov_1.68874__5809__terpene__ANTISMASH__0_5809,3.134035873,-,-,-,0.061849819,NZ_PJKS01000002,Akkermansia muciniphila,Verrucomicrobia,
V1.CD27.0__NODE_683_length_26624_cov_4.25955__22114__lantipeptide__ANTISMASH__4510_26624,1.976904896,-,-,-,0.366936672,N/A,N/A,Unassigned,
V1.UC17.2__NODE_1470_length_18978_cov_2.97342__18978__ladderane__ANTISMASH__0_18978,2.158948315,-,-,-,0.340920066,N/A,N/A,Unassigned,
V1.UC11.5__NODE_429_length_60760_cov_18.0075__40215__lantipeptide-t2pks__ANTISMASH__2747_42962,2.633555234,-,-,-,0.174125664,NZ_AXVN01000027,Blautia wexlerae DSM 19850,Firmicutes,
V1.UC11.5__NODE_2937_length_13810_cov_2.1297__13810__nrps__ANTISMASH__0_13810,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC36.2__NODE_1371_length_14813_cov_2.29489__14813__nrps__ANTISMASH__0_14813,1.876723284,-,-,-,0.268836049,N/A,N/A,Unassigned,
V1.UC42.0__NODE_3624_length_9668_cov_5.48986__9668__bacteriocin__ANTISMASH__0_9668,3.344837614,-,-,-,0.109846143,N/A,N/A,Unassigned,
V1.CD31.0__NODE_324_length_45336_cov_5.271__35893__other__ANTISMASH__9443_45336,2.53678294,C,2.536233283,0.008704721,0.008704721,N/A,N/A,Unassigned,
O2.UC2.2__NODE_2408_length_14048_cov_3.74945__14048__lantipeptide__ANTISMASH__0_14048,1.55469346,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.UC17.2__NODE_171_length_64296_cov_6.23947__50594__nrps-lantipeptide__ANTISMASH__0_50594,0,-,-,-,-,NZ_NDYF01000017,Finegoldia magna (Peptostreptococcus magnus),Firmicutes,
O2.UC59.0__NODE_4864_length_6548_cov_2.23441__6548__nrps__ANTISMASH__0_6548,3.808416667,-,-,-,0.187286199,NZ_CZAW01000013,Blautia wexlerae,Firmicutes,
V1.CD35.1__NODE_1994_length_10865_cov_3.59695__10865__nrps__ANTISMASH__0_10865,1.809077491,-,-,-,0.065953933,N/A,N/A,Unassigned,
O2.UC19.2__NODE_995_length_19688_cov_4.15403__14059__lantipeptide__ANTISMASH__5629_19688,2.695475265,-,-,-,0.347704122,N/A,N/A,Unassigned,
V1.CD29.0__NODE_617_length_34395_cov_1.90839__31809__arylpolyene__ANTISMASH__2586_34395,1.598983873,-,-,-,0.366936672,N/A,N/A,Unassigned,
V1.UC31.4__NODE_1315_length_24221_cov_3.34458__24221__nrps__ANTISMASH__0_24221,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC55.0__NODE_446_length_65048_cov_3.10812__30098__nrps__ANTISMASH__34950_65048,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC26.4__NODE_1258_length_29685_cov_2.30214__28409__arylpolyene__ANTISMASH__0_28409,1.952199182,-,-,-,0.43932307,N/A,N/A,Unassigned,
O2.UC30.2__NODE_918_length_24951_cov_18.3517__24951__nrps__ANTISMASH__0_24951,2.592242132,-,-,-,0.6831639,NZ_KB894647,Bacteroides barnesiae DSM 18169 = JCM 13652,Bacteroidetes,
V1.UC21.4__NODE_2417_length_15052_cov_5.26279__15052__nrps__ANTISMASH__0_15052,1.924774257,-,-,-,0.268836049,N/A,N/A,Unassigned,
V1.CD34.0__NODE_4290_length_8938_cov_2.09085__8938__nrps__ANTISMASH__0_8938,1.737816984,-,-,-,0.268836049,N/A,N/A,Unassigned,
V1.UC53.4__NODE_4720_length_6304_cov_2.09249__6304__other__ANTISMASH__0_6304,3.813008225,-,-,-,0.216913089,NZ_CZAW01000006,Blautia wexlerae,Firmicutes,
O2.UC47.2__NODE_5_length_278372_cov_6.33872__32277__terpene__ANTISMASH__246095_278372,3.151852207,-,-,-,0.079148984,NZ_PJLA01000001,Akkermansia muciniphila,Verrucomicrobia,
O2.UC23.2__NODE_3504_length_8852_cov_2.02251__8852__other__ANTISMASH__0_8852,1.679435371,-,-,-,0.136937121,NZ_JRFU01000203,Eubacterium ramulus,Firmicutes,
O2.UC1.2__NODE_433_length_37090_cov_2.5379__35346__nrps__ANTISMASH__1744_37090,2.772352414,-,-,-,0.136937121,N/A,N/A,Unassigned,
O2.UC5.0__NODE_7149_length_5064_cov_1.01917__5064__nrps__ANTISMASH__0_5064,2.859348316,-,-,-,0.552521453,NZ_FMMH01000009,Clostridioides difficile,Firmicutes,
O2.UC31.2__NODE_107_length_68521_cov_6.26388__45693__arylpolyene__ANTISMASH__0_45693,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC18.2__NODE_1609_length_17393_cov_1.96112__13974__bacteriocin__ANTISMASH__3419_17393,1.415890933,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.CD35.0__NODE_191_length_77163_cov_207.909__48007__arylpolyene__ANTISMASH__29156_77163,4.730030487,CD,4.16326118,0.001023901,0.001023901,NZ_GL635653,Bacteroides sp. 3_1_40A,Bacteroidetes,
O2.UC56.2__NODE_3772_length_7714_cov_2.10772__7714__lassopeptide__ANTISMASH__0_7714,3.196675171,C,2.690956528,0.006837979,0.006837979,N/A,N/A,Unassigned,
O2.UC16.2__NODE_4511_length_5093_cov_1.04982__5093__nrps__ANTISMASH__0_5093,3.65751508,-,-,-,0.212248835,NZ_CYZA01000004,Blautia obeum,Firmicutes,
O2.UC47.0__NODE_4232_length_7244_cov_1.70803__7244__nrps__ANTISMASH__0_7244,1.959268878,-,-,-,0.136937121,N/A,N/A,Unassigned,
O2.UC56.2__NODE_309_length_47373_cov_2.53115__25316__bacteriocin__ANTISMASH__22057_47373,2.901810987,-,-,-,0.0198065,NZ_NMTZ01000027,Faecalibacterium prausnitzii,Firmicutes,
V1.UC39.0__NODE_349_length_47280_cov_2.19507__34092__lantipeptide__ANTISMASH__13188_47280,2.420816657,-,-,-,0.036038833,N/A,N/A,Unassigned,
V1.UC42.0__NODE_129_length_76522_cov_2.56649__34293__other__ANTISMASH__42229_76522,3.244150038,-,-,-,0.125016088,N/A,N/A,Unassigned,
V1.UC54.0__NODE_4006_length_13892_cov_9.18819__13892__nrps__ANTISMASH__0_13892,3.168561885,-,-,-,0.63345806,NZ_FMMH01000009,Clostridioides difficile,Firmicutes,
V1.UC54.0__NODE_299_length_76432_cov_12.8158__43848__other__ANTISMASH__32584_76432,2.288906614,-,-,-,0.213827244,N/A,N/A,Unassigned,
O2.UC56.0__NODE_2838_length_10907_cov_1.58293__10907__arylpolyene__ANTISMASH__0_10907,1.88564648,-,-,-,0.43932307,N/A,N/A,Unassigned,
O2.UC32.0__NODE_1364_length_18098_cov_3.31126__18098__nrps__ANTISMASH__0_18098,1.221759458,-,-,-,0.586543543,N/A,N/A,Unassigned,
O2.UC40.0__NODE_572_length_31279_cov_4.51163__26382__resorcinol__ANTISMASH__4897_31279,4.39072258,CD,3.909039852,0.003716546,0.003716546,NZ_NFKX01000005,Bacteroides dorei,Bacteroidetes,
V1.UC50.1__NODE_5165_length_7983_cov_2.12645__7983__nrps__ANTISMASH__0_7983,3.069705144,-,-,-,0.167757621,NZ_BAHW02000027,Clostridiales bacterium VE202-09,Firmicutes,
V1.UC11.5__NODE_3762_length_10829_cov_2.09792__10829__nrps__ANTISMASH__0_10829,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC38.0__NODE_12_length_256856_cov_31.9501__10225__bacteriocin__ANTISMASH__190339_200564,3.309043051,C,2.974527015,0.004536139,0.004536139,NZ_JRFS01000025,Eubacterium rectale,Firmicutes,
